PyTorch Version: 1.7.0
CUDA device available: False
Using CUDA device: cpu
Random Seed: 42
Output Path: /home/bu20/2021/UP_courses/DL/project/UTK_final/
Script: run_model.py
CS/MAE/RMSE: | Current Valid: 0.35/9.29/11.67 Ep. 38 | Best Valid :                0.42/7.35/9.26 Ep. 22
Time elapsed: 463.88 min
Epoch: 040/050 | Batch 0000/0190 | Cost: 3.5750
Epoch: 040/050 | Batch 0025/0190 | Cost: 3.6876
Epoch: 040/050 | Batch 0050/0190 | Cost: 3.0250
Epoch: 040/050 | Batch 0075/0190 | Cost: 3.5801
Epoch: 040/050 | Batch 0100/0190 | Cost: 4.7680
Epoch: 040/050 | Batch 0125/0190 | Cost: 3.8921
Epoch: 040/050 | Batch 0150/0190 | Cost: 3.4351
Epoch: 040/050 | Batch 0175/0190 | Cost: 3.5424
CS/MAE/RMSE: | Current Valid: 0.38/8.56/10.86 Ep. 39 | Best Valid :                0.42/7.35/9.26 Ep. 22
Time elapsed: 476.69 min
Epoch: 041/050 | Batch 0000/0190 | Cost: 3.3870
